    um         	nm
   0.000	  -0.056
   0.011	  -0.056
   0.022	  -0.016
   0.033	   0.027
   0.045	   0.070
   0.056	  -0.065
   0.067	   0.008
   0.078	  -0.025
   0.089	   0.098
   0.100	   0.001
   0.112	  -0.106
   0.123	  -0.109
   0.134	  -0.035
   0.145	  -0.053
   0.156	   0.149
   0.167	   0.001
   0.179	  -0.018
   0.190	  -0.039
   0.201	   0.036
   0.212	  -0.014
   0.223	  -0.107
   0.234	  -0.013
   0.246	  -0.093
   0.257	   0.030
   0.268	  -0.013
   0.279	  -0.071
   0.290	  -0.005
   0.301	  -0.076
   0.313	   0.067
   0.324	  -0.039
   0.335	  -0.074
   0.346	   0.113
   0.357	  -0.016
   0.368	  -0.007
   0.379	  -0.020
   0.391	   0.051
   0.402	   0.009
   0.413	  -0.024
   0.424	   0.037
   0.435	  -0.012
   0.446	  -0.010
   0.458	  -0.059
   0.469	   0.026
   0.480	  -0.094
   0.491	  -0.082
   0.502	   0.004
   0.513	   0.073
   0.525	  -0.027
   0.536	  -0.056
   0.547	   0.190
   0.558	   0.065
   0.569	  -0.067
   0.580	   0.040
   0.592	   0.044
   0.603	  -0.034
   0.614	   0.056
   0.625	   0.007
   0.636	  -0.029
   0.647	   0.001
   0.659	  -0.048
   0.670	  -0.062
   0.681	   0.062
   0.692	  -0.019
   0.703	   0.029
   0.714	  -0.013
   0.725	  -0.062
   0.737	   0.033
   0.748	   0.008
   0.759	  -0.070
   0.770	   0.034
   0.781	   0.057
   0.792	  -0.107
   0.804	   0.052
   0.815	   0.054
   0.826	  -0.003
   0.837	  -0.005
   0.848	   0.013
   0.859	   0.051
   0.871	  -0.096
   0.882	  -0.001
   0.893	   0.049
   0.904	   0.006
   0.915	   0.055
   0.926	  -0.060
   0.938	  -0.068
   0.949	  -0.027
   0.960	   0.048
   0.971	  -0.002
   0.982	  -0.056
   0.993	   0.038
   1.004	   0.011
   1.016	  -0.053
   1.027	   0.040
   1.038	   0.043
   1.049	   0.046
   1.060	   0.023
   1.071	  -0.016
   1.083	   0.079
   1.094	   0.179
   1.105	   0.025
   1.116	  -0.107
   1.127	  -0.074
   1.138	  -0.006
   1.150	   0.002
   1.161	   0.010
   1.172	   0.071
   1.183	   0.015
   1.194	   0.064
   1.205	   0.021
   1.217	   0.006
   1.228	  -0.063
   1.239	  -0.028
   1.250	  -0.036
   1.261	  -0.010
   1.272	  -0.054
   1.284	   0.056
   1.295	  -0.004
   1.306	   0.031
   1.317	   0.012
   1.328	  -0.037
   1.339	   0.076
   1.350	   0.155
   1.362	   0.102
   1.373	   0.109
   1.384	  -0.068
   1.395	  -0.073
   1.406	  -0.021
   1.417	  -0.138
   1.429	   0.149
   1.440	  -0.010
   1.451	   0.061
   1.462	   0.129
   1.473	  -0.020
   1.484	   0.021
   1.496	  -0.008
   1.507	  -0.009
   1.518	  -0.090
   1.529	   0.030
   1.540	   0.004
   1.551	  -0.045
   1.563	   0.085
   1.574	  -0.068
   1.585	  -0.035
   1.596	   0.104
   1.607	  -0.003
   1.618	   0.111
   1.630	  -0.160
   1.641	   0.004
   1.652	   0.032
   1.663	  -0.050
   1.674	  -0.004
   1.685	  -0.033
   1.696	  -0.039
   1.708	  -0.033
   1.719	  -0.008
   1.730	  -0.076
   1.741	   0.095
   1.752	   0.149
   1.763	   0.031
   1.775	  -0.073
   1.786	  -0.083
   1.797	   0.011
   1.808	   0.000
   1.819	  -0.082
   1.830	   0.024
   1.842	   0.021
   1.853	  -0.100
   1.864	   0.473
   1.875	   1.099
   1.886	   1.056
   1.897	   1.052
   1.909	   1.102
   1.920	   1.104
   1.931	   1.137
   1.942	   1.044
   1.953	   1.146
   1.964	   1.294
   1.976	   1.103
   1.987	   1.121
   1.998	   1.133
   2.009	   1.115
   2.020	   1.063
   2.031	   1.142
   2.042	   1.021
   2.054	   1.149
   2.065	   1.096
   2.076	   0.987
   2.087	   1.049
   2.098	   1.127
   2.109	   1.301
   2.121	   1.117
   2.132	   1.180
   2.143	   0.905
   2.154	   1.094
   2.165	   1.171
   2.176	   1.088
   2.188	   1.061
   2.199	   1.163
   2.210	   1.106
   2.221	   1.150
   2.232	   1.064
   2.243	   1.073
   2.255	   1.138
   2.266	   1.088
   2.277	   1.033
   2.288	   1.009
   2.299	   1.103
   2.310	   1.040
   2.322	   1.022
   2.333	   1.078
   2.344	   0.941
   2.355	   1.172
   2.366	   0.991
   2.377	   0.986
   2.388	   1.074
   2.400	   1.159
   2.411	   0.987
   2.422	   0.960
   2.433	   1.088
   2.444	   1.093
   2.455	   1.100
   2.467	   1.100
   2.478	   1.106
   2.489	   1.121
   2.500	   1.070
   2.511	   1.072
   2.522	   1.100
   2.534	   1.186
   2.545	   0.992
   2.556	   1.081
   2.567	   1.095
   2.578	   1.115
   2.589	   1.058
   2.601	   1.110
   2.612	   1.068
   2.623	   1.140
   2.634	   1.037
   2.645	   0.949
   2.656	   1.064
   2.667	   1.027
   2.679	   1.032
   2.690	   1.069
   2.701	   1.077
   2.712	   1.200
   2.723	   1.209
   2.734	   1.068
   2.746	   1.071
   2.757	   1.108
   2.768	   1.095
   2.779	   1.053
   2.790	   1.094
   2.801	   1.124
   2.813	   1.094
   2.824	   1.182
   2.835	   1.147
   2.846	   1.037
   2.857	   1.186
   2.868	   1.123
   2.880	   1.055
   2.891	   1.077
   2.902	   1.111
   2.913	   1.093
   2.924	   1.035
   2.935	   1.056
   2.947	   1.160
   2.958	   1.155
   2.969	   1.130
   2.980	   1.031
   2.991	   1.124
   3.002	   1.067
   3.013	   1.045
   3.025	   0.998
   3.036	   1.027
   3.047	   1.056
   3.058	   1.070
   3.069	   1.161
   3.080	   1.094
   3.092	   0.980
   3.103	   1.066
   3.114	   1.074
   3.125	   1.000
   3.136	   1.074
   3.147	   1.168
   3.159	   1.044
   3.170	   1.139
   3.181	   1.033
   3.192	   0.985
   3.203	   1.144
   3.214	   1.158
   3.226	   1.061
   3.237	   1.111
   3.248	   1.021
   3.259	   1.031
   3.270	   1.030
   3.281	   0.966
   3.293	   1.160
   3.304	   1.067
   3.315	   1.084
   3.326	   1.162
   3.337	   1.193
   3.348	   1.021
   3.359	   1.081
   3.371	   1.023
   3.382	   1.199
   3.393	   1.076
   3.404	   0.998
   3.415	   1.143
   3.426	   1.152
   3.438	   1.061
   3.449	   1.051
   3.460	   0.966
   3.471	   1.103
   3.482	   1.098
   3.493	   1.114
   3.505	   1.026
   3.516	   1.257
   3.527	   1.249
   3.538	   1.110
   3.549	   1.122
   3.560	   1.122
   3.572	   1.086
   3.583	   1.064
   3.594	   1.121
   3.605	   1.168
   3.616	   1.081
   3.627	   1.101
   3.639	   1.128
   3.650	   1.176
   3.661	   1.125
   3.672	   1.043
   3.683	   1.203
   3.694	   1.090
   3.705	   1.090
   3.717	   1.110
   3.728	   1.218
   3.739	   1.197
   3.750	   1.119
   3.761	   1.435
   3.772	   1.054
   3.784	   1.145
   3.795	   1.179
   3.806	   1.260
   3.817	   1.223
   3.828	   1.102
   3.839	   1.196
   3.851	   1.082
   3.862	   1.106
   3.873	   1.173
   3.884	   1.125
   3.895	   1.207
   3.906	   1.106
   3.918	   1.114
   3.929	   1.062
   3.940	   1.039
   3.951	   1.446
   3.962	   1.188
   3.973	   1.072
   3.985	   1.113
   3.996	   1.231
   4.007	   1.143
   4.018	   1.009
   4.029	   1.148
   4.040	   1.044
   4.051	   1.132
   4.063	   1.167
   4.074	   1.157
   4.085	   1.176
   4.096	   1.074
   4.107	   1.351
   4.118	   1.082
   4.130	   1.009
   4.141	   1.246
   4.152	   1.191
   4.163	   1.189
   4.174	   1.125
   4.185	   1.136
   4.197	   1.219
   4.208	   1.199
   4.219	   1.485
   4.230	   1.209
   4.241	   1.156
   4.252	   1.116
   4.264	   1.203
   4.275	   1.131
   4.286	   1.153
   4.297	   1.086
   4.308	   1.140
   4.319	   1.152
   4.330	   1.116
   4.342	   0.004
   4.353	   0.065
   4.364	  -0.036
   4.375	  -0.037
   4.386	   0.005
   4.397	   0.001
   4.409	  -0.013
   4.420	  -0.003
   4.431	   0.030
   4.442	   0.032
   4.453	  -0.042
   4.464	  -0.026
   4.476	  -0.088
   4.487	  -0.002
   4.498	   0.014
   4.509	  -0.078
   4.520	   0.056
   4.531	  -0.096
   4.543	   0.004
   4.554	  -0.055
   4.565	  -0.018
   4.576	   0.001
   4.587	   0.019
   4.598	  -0.061
   4.610	   0.023
   4.621	   0.006
   4.632	   0.028
   4.643	   0.002
   4.654	   0.083
   4.665	  -0.002
   4.676	   0.034
   4.688	   0.010
   4.699	   0.005
   4.710	  -0.003
   4.721	  -0.112
   4.732	  -0.085
   4.743	  -0.020
   4.755	   0.020
   4.766	  -0.029
   4.777	  -0.046
   4.788	  -0.129
   4.799	  -0.178
   4.810	  -0.040
   4.822	  -0.088
   4.833	  -0.020
   4.844	   0.015
   4.855	   0.069
   4.866	   0.048
   4.877	   0.027
   4.889	   0.087
   4.900	   0.033
   4.911	  -0.109
   4.922	  -0.074
   4.933	   0.076
   4.944	  -0.017
   4.956	  -0.026
   4.967	   0.090
   4.978	   0.030
   4.989	   0.088
   5.000	   0.032
   5.011	   0.015
   5.022	  -0.096
   5.034	   0.055
   5.045	   0.071
   5.056	  -0.074
   5.067	   0.073
   5.078	  -0.010
   5.089	  -0.022
   5.101	  -0.027
   5.112	  -0.102
   5.123	   0.058
   5.134	   0.134
   5.145	  -0.032
   5.156	  -0.046
   5.168	  -0.146
   5.179	   0.006
   5.190	   0.005
   5.201	  -0.019
   5.212	  -0.010
   5.223	   0.026
   5.235	   0.088
   5.246	   0.021
   5.257	  -0.010
   5.268	   0.052
   5.279	   0.035
   5.290	   0.030
   5.302	  -0.120
   5.313	   0.087
   5.324	   0.031
   5.335	   0.057
   5.346	  -0.099
   5.357	  -0.080
   5.368	   0.053
   5.380	   0.010
   5.391	   0.052
   5.402	   0.007
   5.413	  -0.066
   5.424	  -0.133
   5.435	   0.010
   5.447	   0.053
   5.458	   0.070
   5.469	  -0.032
   5.480	   0.035
   5.491	  -0.094
   5.502	  -0.037
   5.514	  -0.065
   5.525	   0.153
   5.536	   0.010
   5.547	  -0.036
   5.558	   0.001
   5.569	   0.072
   5.581	  -0.019
   5.592	   0.106
   5.603	   0.062
   5.614	   0.001
   5.625	  -0.026
   5.636	   0.014
   5.648	   0.029
