    um         	nm
   0.000	   0.047
   0.010	   0.047
   0.020	   0.023
   0.030	   0.124
   0.039	   0.149
   0.049	   0.017
   0.059	  -0.018
   0.069	  -0.130
   0.079	   0.007
   0.089	   0.032
   0.099	  -0.041
   0.109	   0.028
   0.118	  -0.051
   0.128	  -0.008
   0.138	   0.059
   0.148	   0.129
   0.158	   0.018
   0.168	   0.043
   0.178	  -0.080
   0.188	  -0.003
   0.197	   0.098
   0.207	  -0.020
   0.217	  -0.020
   0.227	   0.010
   0.237	  -0.053
   0.247	  -0.055
   0.257	  -0.107
   0.266	   0.032
   0.276	   0.022
   0.286	   0.064
   0.296	   0.055
   0.306	  -0.004
   0.316	   0.044
   0.326	   0.046
   0.336	  -0.087
   0.345	   0.048
   0.355	  -0.019
   0.365	  -0.039
   0.375	   0.060
   0.385	   0.094
   0.395	   0.037
   0.405	   0.060
   0.414	   0.007
   0.424	   0.019
   0.434	  -0.034
   0.444	   0.001
   0.454	   0.006
   0.464	  -0.027
   0.474	   0.105
   0.484	  -0.010
   0.493	   0.097
   0.503	  -0.085
   0.513	  -0.027
   0.523	   0.060
   0.533	   0.088
   0.543	   0.072
   0.553	  -0.084
   0.563	   0.021
   0.572	   0.051
   0.582	  -0.036
   0.592	   0.057
   0.602	   0.003
   0.612	  -0.099
   0.622	   0.123
   0.632	   0.032
   0.641	   0.013
   0.651	  -0.071
   0.661	  -0.041
   0.671	   0.019
   0.681	  -0.031
   0.691	   0.007
   0.701	  -0.109
   0.711	  -0.016
   0.720	   0.006
   0.730	   0.010
   0.740	   0.046
   0.750	  -0.036
   0.760	   0.232
   0.770	  -0.060
   0.780	   0.004
   0.789	  -0.061
   0.799	   0.006
   0.809	   0.029
   0.819	   0.039
   0.829	   0.092
   0.839	  -0.022
   0.849	   0.034
   0.859	  -0.002
   0.868	  -0.064
   0.878	  -0.019
   0.888	  -0.042
   0.898	   0.010
   0.908	  -0.065
   0.918	   0.139
   0.928	  -0.054
   0.938	   0.051
   0.947	   0.072
   0.957	  -0.002
   0.967	   0.030
   0.977	   0.045
   0.987	   0.038
   0.997	   0.032
   1.007	   0.002
   1.016	  -0.071
   1.026	   0.059
   1.036	  -0.006
   1.046	  -0.024
   1.056	   0.062
   1.066	  -0.003
   1.076	   0.010
   1.086	   0.091
   1.095	   0.345
   1.105	   0.812
   1.115	   1.115
   1.125	   1.134
   1.135	   1.134
   1.145	   1.126
   1.155	   1.084
   1.165	   1.059
   1.174	   1.076
   1.184	   1.096
   1.194	   1.232
   1.204	   1.056
   1.214	   0.998
   1.224	   1.108
   1.234	   1.049
   1.243	   1.236
   1.253	   1.036
   1.263	   1.093
   1.273	   1.164
   1.283	   1.126
   1.293	   1.118
   1.303	   1.214
   1.313	   1.060
   1.322	   1.056
   1.332	   1.154
   1.342	   1.095
   1.352	   0.966
   1.362	   1.019
   1.372	   1.179
   1.382	   1.035
   1.391	   0.963
   1.401	   1.190
   1.411	   1.114
   1.421	   1.157
   1.431	   1.034
   1.441	   1.070
   1.451	   1.131
   1.461	   1.030
   1.470	   1.124
   1.480	   1.197
   1.490	   1.131
   1.500	   1.145
   1.510	   1.073
   1.520	   1.058
   1.530	   1.093
   1.540	   1.010
   1.549	   1.215
   1.559	   1.082
   1.569	   1.193
   1.579	   1.025
   1.589	   1.218
   1.599	   1.133
   1.609	   1.030
   1.618	   1.100
   1.628	   1.056
   1.638	   0.966
   1.648	   1.056
   1.658	   1.080
   1.668	   1.106
   1.678	   1.118
   1.688	   1.038
   1.697	   1.075
   1.707	   1.117
   1.717	   1.028
   1.727	   1.098
   1.737	   1.017
   1.747	   1.124
   1.757	   1.118
   1.766	   1.161
   1.776	   1.085
   1.786	   1.136
   1.796	   1.184
   1.806	   1.112
   1.816	   1.162
   1.826	   1.132
   1.836	   1.022
   1.845	   1.074
   1.855	   1.153
   1.865	   1.003
   1.875	   1.063
   1.885	   1.160
   1.895	   1.053
   1.905	   1.140
   1.915	   1.099
   1.924	   1.151
   1.934	   1.039
   1.944	   0.977
   1.954	   1.058
   1.964	   1.128
   1.974	   1.208
   1.984	   1.174
   1.993	   1.114
   2.003	   1.070
   2.013	   1.052
   2.023	   1.000
   2.033	   1.060
   2.043	   1.042
   2.053	   1.149
   2.063	   1.144
   2.072	   1.080
   2.082	   1.011
   2.092	   1.088
   2.102	   1.250
   2.112	   1.104
   2.122	   1.259
   2.132	   1.245
   2.142	   1.163
   2.151	   0.993
   2.161	   1.259
   2.171	   1.025
   2.181	   1.006
   2.191	   1.392
   2.201	   1.316
   2.211	   1.237
   2.220	   1.088
   2.230	   1.085
   2.240	   1.194
   2.250	   1.234
   2.260	   1.080
   2.270	   1.194
   2.280	   1.190
   2.290	   1.098
   2.299	   1.085
   2.309	   1.125
   2.319	   1.079
   2.329	   1.030
   2.339	   1.165
   2.349	   1.204
   2.359	   1.038
   2.368	   1.018
   2.378	   1.343
   2.388	   1.082
   2.398	   1.099
   2.408	   1.550
   2.418	   1.184
   2.428	   1.093
   2.438	   1.213
   2.447	   0.999
   2.457	   1.103
   2.467	   1.133
   2.477	   1.158
   2.487	   1.249
   2.497	   1.108
   2.507	   1.179
   2.517	   1.037
   2.526	   1.100
   2.536	   1.366
   2.546	   1.150
   2.556	   1.062
   2.566	   1.134
   2.576	   1.152
   2.586	   1.172
   2.595	   1.292
   2.605	   1.071
   2.615	   1.144
   2.625	   1.095
   2.635	   1.034
   2.645	   1.068
   2.655	   1.066
   2.665	   1.136
   2.674	   1.203
   2.684	   1.047
   2.694	   1.168
   2.704	   1.147
   2.714	   1.103
   2.724	   1.146
   2.734	   1.103
   2.743	   1.119
   2.753	   1.043
   2.763	   1.073
   2.773	   1.048
   2.783	   0.970
   2.793	   1.156
   2.803	   1.076
   2.813	   1.166
   2.822	   1.187
   2.832	   1.055
   2.842	   1.080
   2.852	   0.978
   2.862	   1.116
   2.872	   1.104
   2.882	   1.130
   2.892	   1.200
   2.901	   1.089
   2.911	   1.089
   2.921	   1.201
   2.931	   1.118
