    um         	nm
   0.000	   0.059
   0.012	   0.059
   0.024	   0.049
   0.037	  -0.014
   0.049	  -0.061
   0.061	  -0.024
   0.073	   0.033
   0.086	   0.001
   0.098	   0.072
   0.110	  -0.075
   0.122	   0.028
   0.135	  -0.070
   0.147	  -0.053
   0.159	  -0.001
   0.171	  -0.023
   0.184	   0.046
   0.196	  -0.047
   0.208	  -0.037
   0.220	  -0.054
   0.233	   0.030
   0.245	   0.046
   0.257	   0.099
   0.269	  -0.070
   0.282	  -0.019
   0.294	   0.000
   0.306	   0.000
   0.318	   0.046
   0.331	   0.020
   0.343	   0.010
   0.355	   0.056
   0.367	   0.045
   0.380	   0.002
   0.392	   0.059
   0.404	  -0.035
   0.416	   0.012
   0.429	   0.002
   0.441	   0.003
   0.453	   0.080
   0.465	   0.007
   0.478	   0.059
   0.490	   0.003
   0.502	  -0.051
   0.514	  -0.024
   0.527	  -0.007
   0.539	   0.041
   0.551	  -0.008
   0.563	  -0.005
   0.576	   0.057
   0.588	  -0.052
   0.600	   0.090
   0.612	  -0.060
   0.624	  -0.068
   0.637	  -0.001
   0.649	  -0.073
   0.661	   0.036
   0.673	   0.020
   0.686	   0.127
   0.698	  -0.018
   0.710	   0.014
   0.722	   0.031
   0.735	   0.041
   0.747	   0.001
   0.759	   0.050
   0.771	   0.031
   0.784	   0.114
   0.796	   0.109
   0.808	   0.110
   0.820	  -0.026
   0.833	   0.046
   0.845	  -0.005
   0.857	  -0.053
   0.869	   0.009
   0.882	   0.025
   0.894	  -0.031
   0.906	  -0.027
   0.918	  -0.064
   0.931	  -0.060
   0.943	   0.130
   0.955	   0.020
   0.967	   0.079
   0.980	  -0.064
   0.992	   0.014
   1.004	  -0.041
   1.016	   0.132
   1.029	  -0.065
   1.041	   0.003
   1.053	   0.067
   1.065	   0.033
   1.078	  -0.022
   1.090	   0.033
   1.102	   0.009
   1.114	  -0.027
   1.127	  -0.006
   1.139	   0.120
   1.151	  -0.065
   1.163	   0.212
   1.176	  -0.013
   1.188	  -0.089
   1.200	   0.039
   1.212	  -0.036
   1.225	   0.056
   1.237	  -0.029
   1.249	   0.037
