    um         	nm
   0.000	   0.029
   0.012	   0.029
   0.024	   0.039
   0.037	   0.040
   0.049	  -0.064
   0.061	  -0.052
   0.073	  -0.020
   0.086	   0.018
   0.098	   0.031
   0.110	   0.078
   0.122	  -0.063
   0.135	  -0.057
   0.147	   0.006
   0.159	  -0.018
   0.171	   0.043
   0.184	   0.066
   0.196	   0.136
   0.208	   0.030
   0.220	  -0.041
   0.233	  -0.014
   0.245	   0.056
   0.257	   0.068
   0.269	  -0.081
   0.282	   0.049
   0.294	   0.074
   0.306	   0.072
   0.318	   0.037
   0.331	  -0.002
   0.343	  -0.016
   0.355	  -0.031
   0.367	   0.136
   0.380	  -0.021
   0.392	  -0.076
   0.404	  -0.011
   0.416	   0.022
   0.429	  -0.014
   0.441	   0.042
   0.453	  -0.034
   0.465	  -0.006
   0.478	  -0.080
   0.490	  -0.026
   0.502	  -0.021
   0.514	  -0.013
   0.527	  -0.031
   0.539	   0.026
   0.551	  -0.032
   0.563	   0.039
   0.576	   0.067
   0.588	   0.000
   0.600	   0.052
   0.612	  -0.052
   0.624	   0.011
   0.637	  -0.014
   0.649	   0.015
   0.661	   0.062
   0.673	  -0.049
   0.686	  -0.079
   0.698	   0.028
   0.710	   0.230
   0.722	   0.040
   0.735	   0.076
   0.747	   0.018
   0.759	  -0.068
   0.771	   0.068
   0.784	  -0.010
   0.796	  -0.080
   0.808	  -0.008
   0.820	  -0.019
   0.833	   0.075
   0.845	  -0.039
   0.857	   0.059
   0.869	   0.052
   0.882	  -0.035
   0.894	   0.006
   0.906	   0.018
   0.918	  -0.079
   0.931	   0.096
   0.943	   0.067
   0.955	  -0.054
   0.967	   0.053
   0.980	  -0.021
   0.992	   0.065
   1.004	   0.029
   1.016	   0.004
   1.029	  -0.058
   1.041	   0.059
   1.053	  -0.052
   1.065	  -0.054
   1.078	   0.064
   1.090	  -0.004
   1.102	  -0.046
   1.114	  -0.031
   1.127	   0.036
   1.139	  -0.070
   1.151	  -0.001
   1.163	   0.050
   1.176	  -0.041
   1.188	  -0.029
   1.200	  -0.086
   1.212	   0.000
   1.225	   0.190
   1.237	   0.054
   1.249	   0.866
   1.261	   1.083
   1.273	   1.076
   1.286	   1.112
   1.298	   1.056
   1.310	   1.191
   1.322	   1.215
   1.335	   1.179
   1.347	   1.144
   1.359	   1.180
   1.371	   1.164
   1.384	   1.070
   1.396	   1.087
   1.408	   1.242
   1.420	   1.019
   1.433	   1.116
   1.445	   1.138
   1.457	   1.049
   1.469	   1.081
   1.482	   1.177
   1.494	   1.052
   1.506	   1.175
   1.518	   1.116
   1.531	   1.210
   1.543	   1.157
   1.555	   1.164
   1.567	   1.147
   1.580	   1.056
   1.592	   1.100
   1.604	   1.101
   1.616	   1.105
   1.629	   1.140
   1.641	   1.088
   1.653	   1.109
   1.665	   1.029
   1.678	   1.152
   1.690	   1.117
   1.702	   1.205
   1.714	   1.107
   1.727	   1.035
   1.739	   1.151
   1.751	   1.155
   1.763	   1.187
   1.776	   1.034
   1.788	   1.095
   1.800	   1.152
   1.812	   1.078
   1.825	   1.139
