    um         	nm
   0.000	   0.040
   0.010	   0.040
   0.020	   0.000
   0.030	   0.002
   0.039	  -0.058
   0.049	   0.051
   0.059	   0.047
   0.069	  -0.095
   0.079	  -0.025
   0.089	   0.036
   0.099	  -0.098
   0.108	  -0.014
   0.118	  -0.087
   0.128	  -0.032
   0.138	  -0.025
   0.148	   0.008
   0.158	   0.019
   0.168	  -0.015
   0.177	   0.021
   0.187	   0.069
   0.197	   0.074
   0.207	   0.032
   0.217	  -0.016
   0.227	  -0.018
   0.236	   0.006
   0.246	   0.024
   0.256	   0.064
   0.266	   0.076
   0.276	  -0.044
   0.286	   0.071
   0.296	   0.034
   0.305	   0.049
   0.315	   0.046
   0.325	  -0.071
   0.335	   0.016
   0.345	  -0.032
   0.355	   0.024
   0.365	   0.041
   0.374	   0.055
   0.384	  -0.098
   0.394	  -0.020
   0.404	   1.024
   0.414	   0.600
   0.424	   0.017
   0.434	   0.145
   0.443	   0.052
   0.453	  -0.070
   0.463	   0.019
   0.473	  -0.024
   0.483	  -0.055
   0.493	  -0.022
   0.503	   0.089
   0.512	  -0.017
   0.522	  -0.017
   0.532	  -0.076
   0.542	   0.024
   0.552	   0.042
   0.562	  -0.052
   0.572	  -0.035
   0.581	   0.083
   0.591	  -0.011
   0.601	   0.011
   0.611	  -0.021
   0.621	   0.008
   0.631	   0.007
   0.640	  -0.015
   0.650	   0.029
   0.660	   0.076
   0.670	  -0.041
   0.680	   0.057
   0.690	   0.019
   0.700	   0.082
   0.709	   0.050
   0.719	  -0.016
   0.729	   0.010
   0.739	  -0.019
   0.749	  -0.001
   0.759	   0.017
   0.769	   0.110
   0.778	  -0.046
   0.788	   0.002
   0.798	  -0.023
   0.808	   0.059
   0.818	  -0.077
   0.828	   0.104
   0.838	  -0.108
   0.847	   0.009
   0.857	  -0.005
   0.867	   0.007
   0.877	  -0.068
   0.887	   0.006
   0.897	   0.021
   0.907	   0.010
   0.916	   0.049
   0.926	   0.029
   0.936	   0.047
   0.946	   0.026
   0.956	   0.009
   0.966	   0.038
   0.975	   0.010
   0.985	   0.034
   0.995	   0.056
   1.005	   0.098
   1.015	   0.006
   1.025	   0.036
   1.035	   0.058
   1.044	  -0.022
   1.054	   0.009
   1.064	   0.041
   1.074	   0.025
   1.084	  -0.052
   1.094	   0.073
   1.104	  -0.123
   1.113	   0.075
   1.123	   0.009
   1.133	   0.076
   1.143	  -0.006
   1.153	  -0.062
   1.163	  -0.020
   1.173	   0.031
   1.182	   0.110
   1.192	   0.044
   1.202	  -0.070
   1.212	   0.049
   1.222	   0.016
   1.232	   0.069
   1.242	   0.013
   1.251	  -0.052
   1.261	  -0.069
   1.271	  -0.084
   1.281	   0.024
   1.291	   0.014
   1.301	  -0.153
   1.311	   0.040
   1.320	  -0.044
   1.330	   0.019
   1.340	  -0.016
   1.350	  -0.017
   1.360	   0.085
   1.370	   0.963
   1.379	   1.409
   1.389	   1.163
   1.399	   1.029
   1.409	   1.098
   1.419	   1.080
   1.429	   1.075
   1.439	   1.178
   1.448	   1.000
   1.458	   0.928
   1.468	   1.110
   1.478	   1.204
   1.488	   1.075
   1.498	   1.068
   1.508	   1.185
   1.517	   1.146
   1.527	   1.060
   1.537	   1.116
   1.547	   1.119
   1.557	   1.150
   1.567	   1.062
   1.577	   1.001
   1.586	   0.995
   1.596	   1.053
   1.606	   1.087
   1.616	   1.095
   1.626	   1.158
   1.636	   1.122
   1.646	   1.191
   1.655	   1.161
   1.665	   1.129
   1.675	   0.994
   1.685	   0.887
   1.695	   1.037
   1.705	   0.863
   1.715	   1.036
   1.724	   1.128
   1.734	   1.190
   1.744	   1.088
   1.754	   1.109
   1.764	   1.014
   1.774	   1.098
   1.783	   1.080
   1.793	   1.112
   1.803	   1.139
   1.813	   1.104
   1.823	   1.015
   1.833	   1.114
   1.843	   1.005
   1.852	   0.969
   1.862	   1.169
   1.872	   0.900
   1.882	   1.164
   1.892	   1.022
   1.902	   1.098
   1.912	   1.063
   1.921	   1.017
   1.931	   1.081
   1.941	   1.075
   1.951	   1.158
   1.961	   1.080
   1.971	   0.999
   1.981	   1.166
   1.990	   0.979
   2.000	   1.108
   2.010	   1.036
   2.020	   1.129
   2.030	   0.970
   2.040	   1.058
   2.050	   1.166
   2.059	   1.023
   2.069	   1.033
   2.079	   1.069
   2.089	   1.154
   2.099	   1.140
   2.109	   1.142
   2.118	   1.167
   2.128	   1.095
   2.138	   1.132
   2.148	   1.098
   2.158	   0.981
   2.168	   0.978
   2.178	   1.128
   2.187	   0.961
   2.197	   0.997
   2.207	   1.124
   2.217	   1.470
   2.227	   1.092
   2.237	   1.186
   2.247	   1.145
   2.256	   1.165
   2.266	   1.193
   2.276	   1.111
   2.286	   1.063
   2.296	   1.061
   2.306	   1.187
   2.316	   1.067
   2.325	   1.098
   2.335	   1.076
   2.345	   1.174
   2.355	   1.214
   2.365	   1.029
   2.375	   1.178
   2.385	   1.123
   2.394	   1.055
   2.404	   1.085
   2.414	   1.119
   2.424	   1.101
   2.434	   1.045
   2.444	   1.074
   2.454	   1.015
   2.463	   1.179
   2.473	   1.079
   2.483	   1.151
   2.493	   1.158
   2.503	   1.101
   2.513	   1.005
   2.522	   1.042
   2.532	   0.994
   2.542	   1.118
   2.552	   1.046
   2.562	   1.149
   2.572	   1.155
   2.582	   1.051
   2.591	   1.391
   2.601	   1.239
   2.611	   1.252
   2.621	   1.161
   2.631	   1.094
   2.641	   1.049
   2.651	   1.151
   2.660	   1.045
   2.670	   1.090
   2.680	   1.077
   2.690	   1.017
   2.700	   1.174
   2.710	   1.149
   2.720	   1.227
   2.729	   1.066
   2.739	   1.075
   2.749	   1.098
   2.759	   1.131
   2.769	   0.949
   2.779	   0.637
   2.789	   1.047
   2.798	   1.086
   2.808	   0.668
   2.818	   0.221
   2.828	  -0.003
   2.838	  -0.080
   2.848	  -0.027
   2.858	  -0.099
   2.867	  -0.043
   2.877	  -0.034
   2.887	  -0.031
   2.897	  -0.042
   2.907	  -0.031
   2.917	  -0.055
   2.926	  -0.056
   2.936	  -0.041
   2.946	   0.036
   2.956	   0.027
   2.966	   0.100
   2.976	  -0.034
   2.986	  -0.019
   2.995	   0.074
   3.005	  -0.037
   3.015	  -0.067
   3.025	  -0.003
   3.035	  -0.037
   3.045	   0.052
   3.055	  -0.013
   3.064	   0.027
   3.074	  -0.018
   3.084	  -0.068
   3.094	   0.032
   3.104	   0.021
   3.114	  -0.003
   3.124	   0.001
   3.133	   0.030
   3.143	   0.050
   3.153	   0.024
   3.163	  -0.042
   3.173	  -0.039
   3.183	  -0.015
   3.193	   0.003
   3.202	  -0.047
   3.212	  -0.052
   3.222	   0.185
   3.232	  -0.107
   3.242	   0.126
   3.252	   0.029
   3.261	  -0.010
   3.271	  -0.025
   3.281	   0.010
   3.291	   0.020
   3.301	  -0.002
   3.311	  -0.070
   3.321	   0.043
   3.330	  -0.058
   3.340	   0.089
   3.350	   0.017
   3.360	  -0.018
   3.370	  -0.058
   3.380	  -0.009
   3.390	  -0.022
   3.399	   0.026
   3.409	   0.078
   3.419	   0.063
   3.429	  -0.010
   3.439	  -0.051
   3.449	  -0.071
   3.459	   0.044
   3.468	  -0.053
   3.478	  -0.032
   3.488	  -0.044
   3.498	   0.057
   3.508	   0.054
   3.518	  -0.004
   3.528	  -0.010
   3.537	   0.094
   3.547	  -0.055
   3.557	  -0.050
   3.567	  -0.069
   3.577	   0.060
   3.587	  -0.047
   3.597	  -0.017
   3.606	   0.026
   3.616	   0.035
   3.626	  -0.041
   3.636	   0.067
   3.646	   0.025
   3.656	  -0.089
   3.665	   0.014
   3.675	   0.052
   3.685	   0.057
   3.695	   0.023
   3.705	   0.018
   3.715	   0.013
   3.725	  -0.009
   3.734	  -0.086
   3.744	  -0.031
   3.754	  -0.099
   3.764	   0.015
   3.774	  -0.060
   3.784	  -0.038
   3.794	  -0.101
   3.803	  -0.085
   3.813	  -0.007
   3.823	  -0.059
   3.833	   0.021
   3.843	  -0.004
   3.853	   0.004
   3.863	  -0.053
   3.872	  -0.025
   3.882	  -0.067
   3.892	  -0.059
   3.902	  -0.026
   3.912	  -0.030
   3.922	  -0.010
   3.932	   0.067
   3.941	   0.081
   3.951	   0.052
   3.961	  -0.007
   3.971	  -0.031
   3.981	   0.013
   3.991	   0.084
   4.001	  -0.010
   4.010	   0.000
   4.020	  -0.026
   4.030	  -0.085
   4.040	   0.073
   4.050	  -0.056
   4.060	   0.161
   4.069	  -0.041
   4.079	  -0.031
   4.089	   0.014
   4.099	  -0.016
   4.109	   0.024
   4.119	   0.110
   4.129	   0.059
   4.138	   0.026
   4.148	   0.096
   4.158	   0.076
   4.168	  -0.001
   4.178	   0.004
   4.188	  -0.058
   4.198	  -0.009
   4.207	  -0.031
   4.217	   0.052
   4.227	  -0.047
   4.237	  -0.079
   4.247	   0.013
   4.257	  -0.011
   4.267	  -0.064
   4.276	   0.027
   4.286	   0.073
   4.296	  -0.004
   4.306	   0.010
   4.316	  -0.048
   4.326	   0.013
   4.336	   0.019
   4.345	   0.009
   4.355	   0.004
   4.365	   0.031
   4.375	  -0.069
   4.385	   0.007
   4.395	  -0.059
   4.404	  -0.010
   4.414	  -0.013
   4.424	  -0.029
   4.434	  -0.010
   4.444	  -0.036
   4.454	  -0.023
   4.464	  -0.073
   4.473	   0.076
   4.483	  -0.058
   4.493	   0.071
   4.503	  -0.024
   4.513	   0.038
   4.523	  -0.127
   4.533	  -0.019
   4.542	  -0.149
   4.552	   0.040
   4.562	  -0.091
   4.572	   0.021
