    um         	nm
   0.000	  -0.006
   0.010	  -0.006
   0.020	  -0.050
   0.030	  -0.048
   0.039	  -0.023
   0.049	   0.087
   0.059	   0.000
   0.069	   0.030
   0.079	   0.091
   0.089	  -0.018
   0.099	   0.020
   0.108	  -0.066
   0.118	   0.119
   0.128	   0.001
   0.138	   0.010
   0.148	  -0.045
   0.158	  -0.030
   0.168	   0.102
   0.177	  -0.025
   0.187	   0.013
   0.197	   0.026
   0.207	  -0.020
   0.217	   0.011
   0.227	   0.099
   0.236	   0.035
   0.246	  -0.030
   0.256	   0.013
   0.266	   0.026
   0.276	  -0.010
   0.286	   0.023
   0.296	   0.065
   0.305	   0.001
   0.315	  -0.004
   0.325	  -0.035
   0.335	  -0.034
   0.345	   0.084
   0.355	   0.056
   0.365	  -0.010
   0.374	  -0.080
   0.384	   0.024
   0.394	   0.015
   0.404	   0.036
   0.414	  -0.037
   0.424	  -0.038
   0.434	   0.092
   0.443	  -0.002
   0.453	  -0.032
   0.463	  -0.031
   0.473	  -0.076
   0.483	  -0.022
   0.493	   0.094
   0.503	   0.039
   0.512	  -0.070
   0.522	   0.014
   0.532	  -0.045
   0.542	   0.050
   0.552	  -0.010
   0.562	  -0.019
   0.572	   0.082
   0.581	   0.034
   0.591	  -0.066
   0.601	   0.042
   0.611	  -0.071
   0.621	   0.042
   0.631	   0.039
   0.640	  -0.070
   0.650	  -0.023
   0.660	   0.026
   0.670	  -0.010
   0.680	   0.010
   0.690	   0.054
   0.700	  -0.056
   0.709	  -0.003
   0.719	   0.012
   0.729	  -0.043
   0.739	   0.014
   0.749	  -0.055
   0.759	   0.049
   0.769	  -0.029
   0.778	  -0.009
   0.788	   0.115
   0.798	   0.009
   0.808	   0.002
   0.818	  -0.045
   0.828	  -0.034
   0.838	   0.008
   0.847	  -0.133
   0.857	   0.021
   0.867	   0.032
   0.877	  -0.042
   0.887	  -0.049
   0.897	   0.044
   0.907	   0.036
   0.916	  -0.008
   0.926	   0.052
   0.936	  -0.016
   0.946	  -0.029
   0.956	  -0.045
   0.966	  -0.016
   0.975	  -0.042
   0.985	  -0.019
   0.995	   0.084
   1.005	   0.130
   1.015	   0.121
   1.025	  -0.018
   1.035	   0.085
   1.044	   0.009
   1.054	  -0.050
   1.064	  -0.093
   1.074	   0.056
   1.084	  -0.110
   1.094	   0.015
   1.104	  -0.094
   1.113	   0.014
   1.123	   0.032
   1.133	   0.017
   1.143	   0.024
   1.153	   0.136
   1.163	  -0.076
   1.173	   0.056
   1.182	  -0.038
   1.192	  -0.015
   1.202	   0.056
   1.212	   0.152
   1.222	  -0.038
   1.232	   0.011
   1.242	  -0.039
   1.251	  -0.105
   1.261	  -0.039
   1.271	  -0.052
   1.281	  -0.035
   1.291	   0.382
   1.301	   1.068
   1.311	   1.001
   1.320	   1.002
   1.330	   1.066
   1.340	   1.111
   1.350	   1.198
   1.360	   1.134
   1.370	   0.907
   1.379	   1.015
   1.389	   1.108
   1.399	   0.965
   1.409	   1.126
   1.419	   1.107
   1.429	   1.100
   1.439	   1.120
   1.448	   1.031
   1.458	   1.210
   1.468	   1.138
   1.478	   1.155
   1.488	   1.100
   1.498	   1.012
   1.508	   1.044
   1.517	   1.171
   1.527	   1.081
   1.537	   1.143
   1.547	   0.976
   1.557	   1.089
   1.567	   1.085
   1.577	   1.113
   1.586	   1.197
   1.596	   0.997
   1.606	   1.122
   1.616	   1.128
   1.626	   1.188
   1.636	   1.071
   1.646	   1.044
   1.655	   1.268
   1.665	   1.077
   1.675	   1.106
   1.685	   1.254
   1.695	   0.986
   1.705	   1.058
   1.715	   1.144
   1.724	   1.252
   1.734	   1.224
   1.744	   0.950
   1.754	   1.057
   1.764	   1.130
   1.774	   1.206
   1.783	   1.107
   1.793	   0.975
   1.803	   1.089
   1.813	   1.048
   1.823	   1.123
