    um         	nm
   0.000	  -0.082
   0.013	  -0.082
   0.026	  -0.032
   0.039	   0.045
   0.051	  -0.003
   0.064	   0.031
   0.077	  -0.041
   0.090	  -0.031
   0.103	  -0.036
   0.116	   0.065
   0.129	   0.010
   0.141	   0.048
   0.154	  -0.083
   0.167	  -0.056
   0.180	   0.018
   0.193	   0.049
   0.206	  -0.031
   0.218	   0.095
   0.231	   0.052
   0.244	  -0.004
   0.257	   0.003
   0.270	  -0.012
   0.283	  -0.013
   0.296	  -0.079
   0.308	  -0.063
   0.321	   0.027
   0.334	  -0.077
   0.347	   0.008
   0.360	  -0.052
   0.373	  -0.052
   0.386	  -0.032
   0.398	   0.074
   0.411	  -0.071
   0.424	  -0.064
   0.437	  -0.019
   0.450	  -0.062
   0.463	  -0.011
   0.476	   0.123
   0.488	   0.110
   0.501	  -0.017
   0.514	   0.052
   0.527	  -0.004
   0.540	   0.033
   0.553	   0.040
   0.565	  -0.085
   0.578	   0.026
   0.591	   0.106
   0.604	   0.111
   0.617	   0.112
   0.630	   0.009
   0.643	   0.054
   0.655	   0.056
   0.668	  -0.101
   0.681	   0.075
   0.694	  -0.052
   0.707	   0.054
   0.720	   0.049
   0.733	   0.045
   0.745	  -0.028
   0.758	  -0.057
   0.771	  -0.032
   0.784	   0.011
   0.797	   0.045
   0.810	  -0.044
   0.823	  -0.120
   0.835	  -0.005
   0.848	   0.062
   0.861	  -0.081
   0.874	   0.046
   0.887	  -0.023
   0.900	  -0.158
   0.912	  -0.050
   0.925	   0.019
   0.938	  -0.039
   0.951	   0.074
   0.964	   0.058
   0.977	   0.007
   0.990	  -0.065
   1.002	   0.005
   1.015	  -0.086
   1.028	   0.043
   1.041	   0.095
   1.054	  -0.052
   1.067	  -0.039
   1.080	  -0.052
   1.092	  -0.073
   1.105	  -0.050
   1.118	   0.067
   1.131	   0.039
   1.144	   0.029
   1.157	   0.031
   1.170	   0.064
   1.182	  -0.044
   1.195	  -0.017
   1.208	   0.027
   1.221	  -0.040
   1.234	  -0.018
   1.247	   0.046
   1.259	  -0.070
   1.272	   0.129
   1.285	   0.018
   1.298	  -0.072
   1.311	   0.032
   1.324	  -0.050
   1.337	   0.007
   1.349	  -0.033
   1.362	  -0.039
   1.375	  -0.043
   1.388	  -0.102
   1.401	   0.074
   1.414	  -0.007
   1.427	   0.045
   1.439	   0.011
   1.452	  -0.099
   1.465	  -0.025
   1.478	  -0.015
   1.491	  -0.036
   1.504	  -0.031
   1.517	  -0.011
   1.529	   0.156
   1.542	   1.043
   1.555	   1.193
   1.568	   1.045
   1.581	   1.087
   1.594	   0.995
   1.607	   1.048
   1.619	   1.050
   1.632	   1.158
   1.645	   1.064
   1.658	   1.158
   1.671	   1.139
   1.684	   1.193
   1.696	   1.052
   1.709	   1.146
   1.722	   1.203
   1.735	   0.985
   1.748	   1.219
   1.761	   1.098
   1.774	   1.051
   1.786	   1.092
   1.799	   1.058
   1.812	   0.950
   1.825	   1.027
   1.838	   1.021
   1.851	   1.096
   1.864	   1.237
   1.876	   0.967
   1.889	   1.062
   1.902	   1.139
   1.915	   1.045
   1.928	   1.104
   1.941	   1.125
   1.954	   1.143
   1.966	   0.938
   1.979	   1.096
   1.992	   1.109
   2.005	   1.077
   2.018	   0.945
   2.031	   1.053
   2.043	   1.114
   2.056	   1.039
   2.069	   1.142
   2.082	   1.210
   2.095	   1.089
   2.108	   0.950
   2.121	   1.176
   2.133	   1.075
   2.146	   1.158
   2.159	   1.156
   2.172	   1.151
   2.185	   1.064
   2.198	   1.123
   2.211	   1.158
   2.223	   0.992
   2.236	   1.168
   2.249	   1.088
   2.262	   1.081
   2.275	   1.096
   2.288	   1.036
   2.301	   1.125
   2.313	   1.150
   2.326	   1.235
   2.339	   1.213
   2.352	   1.034
   2.365	   1.053
   2.378	   1.153
   2.390	   1.095
   2.403	   1.145
   2.416	   0.932
   2.429	   1.090
   2.442	   1.147
   2.455	   0.967
   2.468	   0.921
   2.480	   1.038
   2.493	   1.387
   2.506	   1.174
   2.519	   1.172
   2.532	   1.118
   2.545	   1.049
   2.558	   1.151
   2.570	   1.074
   2.583	   1.022
   2.596	   1.183
   2.609	   1.212
   2.622	   1.089
   2.635	   1.109
   2.648	   0.995
   2.660	   1.168
   2.673	   1.128
   2.686	   1.193
   2.699	   0.997
   2.712	   1.262
   2.725	   1.103
   2.737	   1.043
   2.750	   1.068
   2.763	   1.143
   2.776	   1.166
   2.789	   1.014
   2.802	   1.200
   2.815	   1.019
   2.827	   0.993
   2.840	   1.223
   2.853	   1.070
   2.866	   1.179
   2.879	   0.983
   2.892	   1.093
   2.905	   1.126
   2.917	   1.242
   2.930	   0.994
   2.943	   1.175
   2.956	   1.022
   2.969	   1.074
   2.982	   1.150
   2.995	   0.989
   3.007	   1.070
   3.020	   1.066
   3.033	   1.085
   3.046	   0.947
   3.059	   1.046
   3.072	   1.099
   3.084	   0.971
   3.097	   1.121
   3.110	   1.053
   3.123	   1.124
   3.136	   1.089
   3.149	   1.081
   3.162	   1.092
   3.174	   1.084
   3.187	   1.094
   3.200	   1.201
   3.213	   1.032
   3.226	   1.044
   3.239	   1.112
   3.252	   1.317
   3.264	   1.140
   3.277	   1.012
   3.290	   0.972
   3.303	   1.061
   3.316	   1.197
   3.329	   1.099
   3.342	   1.078
   3.354	   1.079
   3.367	   1.070
   3.380	   1.223
   3.393	   1.234
   3.406	   0.263
   3.419	  -0.010
   3.431	   0.007
   3.444	   0.081
   3.457	   0.048
   3.470	  -0.039
   3.483	   0.089
   3.496	   0.000
   3.509	   0.090
   3.521	  -0.032
   3.534	   0.017
   3.547	  -0.006
   3.560	   0.033
   3.573	   0.035
   3.586	  -0.038
   3.599	   0.069
   3.611	  -0.050
   3.624	  -0.016
   3.637	   0.060
   3.650	  -0.029
   3.663	  -0.051
   3.676	   0.019
   3.689	   0.042
   3.701	  -0.025
   3.714	   0.046
   3.727	   0.105
   3.740	  -0.015
   3.753	  -0.015
   3.766	   0.053
   3.778	   0.015
   3.791	   0.001
   3.804	  -0.047
   3.817	  -0.022
   3.830	  -0.101
   3.843	   0.076
   3.856	  -0.007
   3.868	  -0.007
   3.881	   0.021
   3.894	   0.010
   3.907	   0.065
   3.920	   0.079
   3.933	   0.034
   3.946	   0.098
   3.958	  -0.007
   3.971	   0.060
   3.984	   0.025
   3.997	  -0.017
   4.010	   0.090
   4.023	   0.010
   4.036	   0.040
   4.048	   0.007
   4.061	  -0.092
   4.074	  -0.026
   4.087	   0.011
   4.100	   0.002
   4.113	   0.019
   4.125	   0.012
   4.138	   0.025
   4.151	   0.017
   4.164	  -0.071
   4.177	  -0.016
   4.190	   0.016
   4.203	   0.023
   4.215	   0.043
   4.228	   0.053
   4.241	  -0.040
   4.254	   0.017
   4.267	  -0.027
   4.280	  -0.063
   4.293	   0.060
   4.305	   0.101
   4.318	  -0.065
   4.331	   0.033
   4.344	   0.072
   4.357	  -0.031
   4.370	   0.024
   4.383	   0.020
   4.395	  -0.078
   4.408	  -0.013
   4.421	  -0.032
   4.434	   0.029
   4.447	   0.035
   4.460	   0.063
   4.472	   0.225
   4.485	   0.044
   4.498	   0.049
   4.511	   0.075
   4.524	   0.002
   4.537	  -0.013
   4.550	   0.013
   4.562	  -0.049
   4.575	   0.052
   4.588	   0.059
   4.601	  -0.046
   4.614	  -0.005
   4.627	   0.024
   4.640	   0.040
   4.652	  -0.033
   4.665	   0.007
   4.678	   0.027
   4.691	  -0.144
   4.704	   0.050
   4.717	   0.018
   4.730	   0.020
   4.742	   0.046
   4.755	   0.022
   4.768	  -0.040
   4.781	   0.027
   4.794	  -0.054
   4.807	  -0.074
   4.820	  -0.004
   4.832	   0.063
   4.845	  -0.025
   4.858	  -0.096
   4.871	   0.048
   4.884	  -0.001
   4.897	  -0.057
   4.909	   0.030
   4.922	   0.025
   4.935	   0.134
   4.948	  -0.052
   4.961	   0.223
   4.974	  -0.056
   4.987	  -0.029
   4.999	  -0.072
   5.012	   0.002
   5.025	   0.067
   5.038	   0.005
   5.051	   0.068
   5.064	   0.007
   5.077	  -0.038
   5.089	   0.029
   5.102	   0.013
   5.115	  -0.076
   5.128	   0.016
   5.141	  -0.027
   5.154	  -0.055
   5.167	  -0.021
   5.179	  -0.073
   5.192	   0.103
   5.205	  -0.045
   5.218	  -0.006
   5.231	  -0.079
   5.244	  -0.013
   5.256	  -0.026
   5.269	   0.051
   5.282	  -0.126
   5.295	   0.045
   5.308	  -0.138
   5.321	  -0.226
   5.334	   0.019
   5.346	   0.038
   5.359	  -0.064
   5.372	  -0.022
   5.385	  -0.116
   5.398	   0.020
   5.411	  -0.044
   5.424	  -0.017
   5.436	   0.052
   5.449	   0.141
   5.462	   0.109
   5.475	   0.094
   5.488	   0.073
   5.501	   0.073
   5.514	   0.142
   5.526	   0.014
   5.539	  -0.028
   5.552	  -0.080
   5.565	   0.092
   5.578	   0.028
   5.591	   0.005
   5.603	   0.045
   5.616	  -0.028
   5.629	   0.033
   5.642	   0.023
   5.655	  -0.039
   5.668	   0.009
   5.681	  -0.032
   5.693	  -0.016
   5.706	   0.049
   5.719	   0.008
   5.732	   0.037
   5.745	   0.010
   5.758	  -0.055
   5.771	   0.041
   5.783	   0.030
