    um         	nm
   0.000	   0.007
   0.013	   0.007
   0.026	  -0.052
   0.039	   0.001
   0.051	  -0.016
   0.064	  -0.037
   0.077	   0.085
   0.090	  -0.010
   0.103	   0.000
   0.116	  -0.080
   0.129	  -0.048
   0.142	  -0.005
   0.154	   0.012
   0.167	  -0.009
   0.180	   0.079
   0.193	   0.064
   0.206	   0.042
   0.219	  -0.004
   0.232	   0.017
   0.244	   0.048
   0.257	   0.054
   0.270	   0.035
   0.283	   0.029
   0.296	   0.063
   0.309	   0.118
   0.322	   0.008
   0.334	   0.033
   0.347	   0.037
   0.360	   0.061
   0.373	  -0.014
   0.386	  -0.060
   0.399	   0.038
   0.412	  -0.139
   0.425	  -0.073
   0.437	  -0.001
   0.450	   0.048
   0.463	   0.049
   0.476	   0.083
   0.489	   0.037
   0.502	  -0.037
   0.515	   0.054
   0.527	  -0.034
   0.540	   0.056
   0.553	   0.007
   0.566	  -0.029
   0.579	   0.001
   0.592	  -0.056
   0.605	  -0.071
   0.617	  -0.040
   0.630	  -0.037
   0.643	   0.011
   0.656	  -0.031
   0.669	  -0.004
   0.682	   0.007
   0.695	  -0.104
   0.708	   0.064
   0.720	   0.083
   0.733	   0.022
   0.746	   0.027
   0.759	   0.007
   0.772	   0.010
   0.785	  -0.057
   0.798	  -0.058
   0.810	   0.044
   0.823	   0.082
   0.836	  -0.149
   0.849	   0.022
   0.862	   0.070
   0.875	   0.018
   0.888	  -0.017
   0.900	   0.030
   0.913	   0.118
   0.926	  -0.012
   0.939	  -0.032
   0.952	  -0.082
   0.965	  -0.063
   0.978	  -0.136
   0.991	  -0.086
   1.003	  -0.059
   1.016	   0.028
   1.029	   0.115
   1.042	   0.032
   1.055	  -0.002
   1.068	  -0.039
   1.081	   0.132
   1.093	  -0.014
   1.106	  -0.007
   1.119	   0.031
   1.132	   0.052
   1.145	   0.035
   1.158	  -0.134
   1.171	  -0.128
   1.183	   0.029
   1.196	   0.048
   1.209	   0.013
   1.222	   0.047
   1.235	   0.028
   1.248	  -0.050
   1.261	  -0.008
   1.274	  -0.017
   1.286	   0.091
   1.299	   0.136
   1.312	   0.068
   1.325	   0.086
   1.338	   0.029
   1.351	   0.012
   1.364	  -0.038
   1.376	   0.073
   1.389	   0.229
   1.402	   0.088
   1.415	   0.017
   1.428	  -0.003
   1.441	  -0.005
   1.454	   0.041
   1.467	  -0.159
   1.479	   0.034
   1.492	  -0.041
   1.505	   0.019
   1.518	   0.007
   1.531	   0.027
   1.544	   0.070
   1.557	   0.034
   1.569	  -0.059
   1.582	  -0.052
   1.595	  -0.100
   1.608	  -0.059
   1.621	  -0.025
   1.634	  -0.056
   1.647	  -0.037
   1.659	   0.069
   1.672	  -0.043
   1.685	   0.015
   1.698	   0.034
   1.711	   0.098
   1.724	   0.016
   1.737	  -0.052
   1.750	   0.034
   1.762	  -0.084
   1.775	  -0.043
   1.788	   0.035
   1.801	  -0.046
   1.814	  -0.013
   1.827	   0.249
   1.840	   0.420
   1.852	   1.137
   1.865	   1.197
   1.878	   1.254
   1.891	   0.986
   1.904	   1.090
   1.917	   1.158
   1.930	   0.989
   1.942	   1.088
   1.955	   1.004
   1.968	   1.120
   1.981	   1.103
   1.994	   1.051
   2.007	   1.089
   2.020	   1.247
   2.033	   1.125
   2.045	   1.129
   2.058	   1.150
   2.071	   1.139
   2.084	   1.076
   2.097	   1.063
   2.110	   1.027
   2.123	   1.053
   2.135	   1.146
   2.148	   1.115
   2.161	   1.070
   2.174	   1.136
   2.187	   0.929
   2.200	   1.058
   2.213	   0.998
   2.225	   1.222
   2.238	   1.035
   2.251	   0.849
   2.264	   1.023
   2.277	   1.025
   2.290	   1.076
   2.303	   1.136
   2.316	   1.147
   2.328	   1.052
   2.341	   1.038
   2.354	   0.938
   2.367	   1.132
   2.380	   1.152
   2.393	   1.105
   2.406	   1.174
   2.418	   1.018
   2.431	   1.155
   2.444	   1.123
   2.457	   1.057
   2.470	   1.207
   2.483	   1.040
   2.496	   1.140
   2.509	   1.122
   2.521	   1.093
   2.534	   1.127
   2.547	   1.183
   2.560	   1.250
   2.573	   1.073
   2.586	   1.066
   2.599	   1.150
   2.611	   1.151
   2.624	   1.047
   2.637	   0.999
   2.650	   1.086
   2.663	   0.998
   2.676	   1.091
   2.689	   1.168
   2.701	   0.923
   2.714	   1.130
   2.727	   1.053
   2.740	   0.990
   2.753	   1.235
   2.766	   1.300
   2.779	   1.199
   2.792	   1.050
   2.804	   1.081
   2.817	   1.021
   2.830	   1.066
   2.843	   1.018
   2.856	   1.093
   2.869	   1.151
   2.882	   1.210
   2.894	   1.108
   2.907	   1.297
   2.920	   1.135
   2.933	   1.183
   2.946	   1.089
   2.959	   1.116
   2.972	   1.052
   2.984	   1.158
   2.997	   1.091
   3.010	   1.193
   3.023	   1.107
   3.036	   1.129
   3.049	   1.093
   3.062	   1.199
   3.075	   1.178
   3.087	   1.181
   3.100	   1.041
   3.113	   1.114
   3.126	   1.090
   3.139	   1.178
   3.152	   1.103
   3.165	   0.970
   3.177	   1.165
   3.190	   1.144
   3.203	   1.088
   3.216	   1.102
   3.229	   1.119
   3.242	   1.108
   3.255	   1.093
   3.267	   1.150
   3.280	   1.070
   3.293	   1.183
   3.306	   1.068
   3.319	   1.176
   3.332	   1.043
   3.345	   1.083
   3.358	   1.093
   3.370	   1.090
   3.383	   1.115
   3.396	   1.080
   3.409	   1.071
   3.422	   1.075
   3.435	   1.165
   3.448	   1.161
   3.460	   1.093
   3.473	   1.118
   3.486	   1.221
   3.499	   1.102
   3.512	   1.063
   3.525	   1.137
   3.538	   0.136
   3.550	  -0.141
   3.563	  -0.010
   3.576	  -0.020
   3.589	   0.170
   3.602	  -0.098
   3.615	  -0.080
   3.628	   0.025
   3.641	   0.022
   3.653	   0.032
   3.666	   0.014
   3.679	   0.051
   3.692	  -0.044
   3.705	   0.085
   3.718	   0.059
   3.731	   0.050
   3.743	  -0.066
   3.756	   0.000
   3.769	  -0.018
   3.782	   0.068
   3.795	  -0.017
   3.808	  -0.037
   3.821	   0.052
   3.834	   0.015
   3.846	  -0.008
   3.859	   0.011
   3.872	  -0.084
   3.885	  -0.031
   3.898	  -0.111
   3.911	   0.014
   3.924	   0.008
   3.936	   0.100
   3.949	  -0.110
   3.962	   0.023
   3.975	   0.011
   3.988	   0.038
   4.001	  -0.047
   4.014	  -0.031
   4.026	  -0.012
   4.039	  -0.037
   4.052	  -0.007
   4.065	   0.071
   4.078	  -0.025
   4.091	  -0.039
   4.104	   0.110
   4.117	   0.134
   4.129	  -0.014
   4.142	   0.059
   4.155	   0.027
   4.168	   0.059
   4.181	  -0.006
   4.194	  -0.028
   4.207	   0.025
   4.219	   0.094
   4.232	   0.127
   4.245	  -0.017
   4.258	  -0.063
   4.271	  -0.080
   4.284	  -0.005
   4.297	   0.004
   4.309	  -0.056
   4.322	   0.101
   4.335	  -0.010
   4.348	  -0.006
   4.361	   0.047
   4.374	  -0.059
   4.387	   0.094
   4.400	   0.067
   4.412	  -0.049
   4.425	  -0.083
   4.438	  -0.079
   4.451	   0.108
   4.464	   0.050
   4.477	   0.016
   4.490	   0.007
   4.502	  -0.106
   4.515	  -0.060
   4.528	   0.009
   4.541	   0.111
   4.554	   0.025
   4.567	  -0.050
   4.580	   0.031
   4.592	  -0.059
   4.605	   0.081
   4.618	   0.023
   4.631	   0.033
   4.644	   0.056
   4.657	  -0.020
   4.670	   0.056
   4.683	  -0.057
   4.695	   0.002
   4.708	   0.115
   4.721	   0.072
   4.734	   0.029
   4.747	  -0.051
   4.760	   0.052
   4.773	  -0.070
   4.785	  -0.011
   4.798	  -0.051
   4.811	  -0.064
   4.824	   0.023
   4.837	  -0.002
   4.850	  -0.017
   4.863	   0.043
   4.875	   0.068
   4.888	  -0.009
   4.901	   0.066
   4.914	  -0.026
   4.927	   0.060
   4.940	   0.003
   4.953	   0.017
   4.966	   0.087
   4.978	   0.024
   4.991	  -0.035
   5.004	  -0.014
   5.017	   0.075
   5.030	  -0.029
   5.043	   0.008
   5.056	   0.051
   5.068	  -0.031
   5.081	  -0.104
   5.094	   0.025
   5.107	   0.049
   5.120	   0.035
   5.133	  -0.010
   5.146	  -0.066
   5.159	  -0.049
   5.171	  -0.020
   5.184	  -0.044
   5.197	   0.043
   5.210	   0.060
   5.223	   0.048
   5.236	  -0.058
   5.249	   0.012
   5.261	  -0.094
   5.274	   0.080
   5.287	   0.090
   5.300	  -0.109
   5.313	   0.016
   5.326	   0.037
   5.339	   0.052
   5.351	   0.044
   5.364	  -0.017
   5.377	  -0.026
   5.390	  -0.184
   5.403	  -0.036
   5.416	  -0.017
   5.429	   0.022
   5.442	   0.099
   5.454	  -0.001
   5.467	   0.009
   5.480	   0.086
   5.493	   0.025
   5.506	  -0.022
   5.519	   0.048
   5.532	   0.030
   5.544	   0.031
   5.557	   0.029
   5.570	  -0.005
   5.583	  -0.032
   5.596	   0.005
   5.609	   0.021
   5.622	  -0.044
   5.634	   0.051
